Model,Release Date,Release Year,RAM Capacity (Mb),ROM Capacity (Mb),CPU Clock (MHz),Display Diagonal (in),Display Width(px),Display Length(px),Width (mm),Length (mm),Depth (mm),Volume (cubic cm),Mass (grams),Pixel Density (per inch)
"1und1 SmartPad","7/1/2010",2010.5,256,1024,500,7,800,480,196.6,130,22,562.3,465,133.1
"3Com Palm III","3/1/1998",1998.166667,2,2,16,3.3,160,160,81,119,18,173.5,160,67.6
"3Com Palm IIIe","7/1/1999",1999.5,2,2,16,3.3,160,160,81,119,18,173.5,170,67.6
"3Com Palm IIIx","2/1/1999",1999.083333,4,2,16,3.3,160,160,81,119,18,173.5,170,67.6
"3Com Palm V","2/1/1999",1999.083333,2,2,16,3.2,160,160,80,115,10,92,115,71.4
"3Com Palm VII","5/1/1999",1999.333333,2,2,16,3.3,160,160,81,133,18,193.9,198,67.6
"3Com Palm Vx","10/1/1999",1999.75,8,2,20,3.2,160,160,80,115,10,92,114,71.4
"Abocom X-Pilot II","1/1/2004",2004,128,32,400,10.4,800,600,235,293,30,2065.7,1600,95.8
"Abocom X-Pilot","6/1/2001",2001.416667,128,32,206,10.4,800,600,280,236,22,1453.8,1090,95.8
"Acer Allegro M310 (Acer W4)","12/1/2011",2011.916667,512,7680,1000,3.6,480,800,59,116,13,89,126,260.4
"Acer beTouch E100 (Acer C1)","10/1/2009",2009.75,256,512,528,3.2,240,400,56,113,12.85,81.3,118,144.5
"Acer beTouch E100 B (Acer C1)","10/1/2009",2009.75,256,512,528,3.2,240,400,56,113,12.85,81.3,118,144.5
"Acer beTouch E101 (Acer E1)","10/1/2009",2009.75,256,512,528,3.2,240,400,56,113,12.85,81.3,118,144.5
"Acer beTouch E110 B","5/1/2010",2010.333333,256,256,416,2.8,240,320,54,103.5,13.4,74.9,105,143.1
"Acer beTouch E110","3/1/2010",2010.166667,256,256,416,2.8,240,320,54,103.5,13.4,74.9,105,143.1
"Acer beTouch E120 (Acer K2)","8/1/2010",2010.583333,256,512,416,2.8,240,320,54,104.5,14,79,105,143.1
"Acer beTouch E120 B (Acer K2)","10/1/2010",2010.75,256,512,416,2.8,240,320,54,104.5,14,79,105,143.1
"Acer beTouch E130 (Acer K3)","8/1/2010",2010.583333,256,512,416,2.6,320,240,62.5,115,11.5,74.6,109,143.1
"Acer beTouch E140","12/1/2010",2010.916667,256,512,600,2.8,240,320,55.8,104.5,12.8,74.6,115,143.1
"Acer beTouch E200 (Acer L1)","10/1/2009",2009.75,256,512,528,3,240,400,53.5,110,15.4,90.6,146,155.9
"Acer beTouch E200 B (Acer L1)","10/1/2009",2009.75,256,512,528,3,240,400,53.5,110,15.4,90.6,146,155.9
"Acer beTouch E210","3/1/2011",2011.166667,256,512,600,2.6,320,240,62.5,116,15,81.8,110,180.9
"Acer beTouch E400","4/1/2010",2010.25,256,512,600,3.2,320,480,59.3,115,12,105.2,125,141.1
"Acer c530","12/1/2006",2006.916667,64,128,300,2.8,240,320,58,108,16.8,105.2,122,141.1
"Acer CloudMobile S500","9/1/2012",2012.666667,1024,7680,1500,4.3,720,1280,65.8,127,9.9,82.7,122,342.2
"Acer d155 / d156","12/1/2006",2006.916667,64,32,266,3.5,320,240,113,97.6,50,551.4,300,114.2
"Acer Iconia Smart S300","5/1/2011",2011.333333,512,512,1000,4.8,480,1024,64.5,142,13.6,124.6,185,235.5
"Acer Iconia Tab A100 16GB","8/1/2011",2011.583333,1024,15257.6,1000,7,1024,600,117.1,195,13.2,301.4,470,169.4
"Acer Iconia Tab A100 8GB","8/1/2011",2011.583333,1024,7680,1000,7,1024,600,195,117.1,13.2,278.3,470,169.4
