,"Manufacturer","Model","Weight.oz","Dim.1.in","Dim.2.in","Dim.3.in","Talk.hr","Standby.hr","Volume.in3","Composite","Years"
"56","Nokia","5165",5.9,5.1,1.9,1,3.3,192,9.69,13.3739576652,1998.5698630137
"76","Nokia","7160",4.9,4.92,2.09,0.95,3,168,9.76866,12.4755771829,1999.5506849315
"77","Nokia","7190",4.9,4.92,2.09,0.95,4,144,9.76866,11.1802986776,1999.5671232877
"127","Mitsubishi","G310",5.6,5.2,1.9,1.1,4,120,10.868,8.5013359242,1999.6493150685
"128","Mitsubishi","G360",5.6,5.2,1.9,1.1,4,120,10.868,8.5013359242,1999.6493150685
"52","Ericsson","A1228d / A1228LX",6.1,5.1,2,1,4,135,10.2,9.509202454,1999.7260273973
"126","Mitsubishi","G410",3.4,5.5,1.5,0.9,2,80,7.425,8.3140877598,1999.8931506849
"45","LG","TP 1100",4.2,3.4,1.9,1.1,2.5,135,7.106,13.0461701751,2000.2082191781
"65","Ericsson","T28 World",3.14,3.9,2,0.6,4,85,4.68,13.4271099744,2000.2547945206
"62","Nokia","8290",2.8,4,1.75,0.68,2.5,96,4.76,14.3518518519,2000.4328767123
"69","Nokia","8890",3.21,3.94,1.73,0.71,3,144,4.839502,19.7527747679,2000.4383561644
"8","Kyocera","QCP-2035",4.41,5.12,1.81,0.83,3.5,120,7.691776,11.3619686896,2000.4849315069
"47","Nokia","3285",5,5.3,1.5,1.1,3.3,110,8.745,9.2033466715,2000.5506849315
"48","Nokia","5185i",5.2,5.3,1.85,1.1,2.9,110,10.7855,7.7883081543,2000.5506849315
"38","Motorola","Timeport 270c",4.7,5.1,2,1,4,225,10.2,16.4429530201,2000.6082191781
"23","Ericsson","R280 / R289",9.26,5.12,2.02,0.99,4,160,10.238976,9.23125399,2000.6219178082
"2","Samsung","SPH-N200",4.7,4.28,2.31,0.91,3.8,130,8.996988,10.8783040476,2000.6383561644
"21","Ericsson","A1228c",9.28,5.12,2.01,0.98,4,100,10.085376,6.1966263913,2000.6465753425
"89","Motorola","v100",5.6,3.7,2.8,1.1,3.3,72,11.396,5.2071075547,2000.6602739726
"37","Motorola","v60c",3.8,3.42,1.77,0.95,4,240,5.75073,27.2230499658,2000.6794520548
"102","Panasonic","DuraMax EB-TX220",4.9,4.8,2,1.1,4,400,10.56,27.1668822768,2000.6821917808
"60","Nokia","8260",3.4,4.1,1.8,0.8,3.3,192,5.904,22.4097162511,2000.6876712329
"28","Nokia","3390",4.2,4.3,1.9,1,2.7,132,8.17,11.7623282134,2000.7205479452
"9","Kyocera","QCP-6035",7.34,5.6,2.5,0.86,5,180,12.04,10.5779153767,2000.797260274
"81","Ericsson","R380 World",5.8,5.12,1.97,1.02,6,130,10.288128,9.9452217188,2000.9150684932
"49","LG","TM-510",4.23,3.36,1.9,1.14,3.7,110,7.27776,11.1663781657,2000.9452054795
"5","Samsung","SCH-T300",3.95,4.5,1.77,0.71,2.8,140,5.65515,16.033065595,2001.0602739726
"100","Audiovox","CDM-8100",4.2,4.9,1.8,0.7,3.7,180,6.174,19.1343743975,2001.0794520548
"39","Motorola","v120c",4.5,5,1.7,1.1,4,240,9.35,18.7725631769,2001.0904109589
"36","Sanyo","SCP-6000",2.29,5.07,1.54,0.39,2.3,160,3.045042,32.1459512409,2001.101369863
"20","Siemens","S40",3.42,4.41,1.73,0.87,6,260,6.637491,28.8342291333,2001.1068493151
"40","Ericsson","R520",4.23,5.12,1.97,0.63,7,200,6.354432,22.2024195535,2001.1808219178
"44","Audiovox","CDM-9100",3.8,5,1.8,0.8,2.8,170,7.2,16.7272727273,2001.2136986301
"10","Kyocera","QCP-3035 / 3035e",4.37,4.87,1.89,1.05,3,120,9.664515,9.6191425211,2001.298630137
"11","LG","TP 5200",3.5,3.3,1.8,0.98,2.5,150,5.8212,17.4333776767,2001.3287671233
"15","Motorola","Timeport P280",4,4.9,1.9,0.9,4.3,135,8.379,12.6423782212,2001.3315068493
"24","Ericsson","A2218z",6.37,5.04,1.93,1.02,9,167,9.921744,13.0127259549,2001.3369863014
"27","Nokia","3360 / 3361",4.8,4.5,2,1,3.5,252,9,19.5289855072,2001.3369863014
"51","Ericsson","R300z",6.37,5.04,1.93,1.02,9,167,9.921744,13.0127259549,2001.3369863014
"22","Ericsson","R300d / R300LX",6.58,5.04,1.89,1.06,6,400,10.097136,25.7838036459,2001.3534246575
"180","Motorola","A009",5.89,2.8,3.8,1.1,3.5,115,11.704,7.5309764693,2001.3561643836
"42","Samsung","SGH-N105",3.15,4.1,1.6,0.68,4.1,120,4.4608,18.4606086088,2001.3589041096
"46","Ericsson","T39",3.03,3.78,1.97,0.71,5,200,5.287086,27.0527441943,2001.3589041096
"1","Samsung","SCH-N150",4.2,4.57,1.97,0.84,2.8,140,7.562436,13.092526072,2001.3780821918
"58","Motorola","v60t",4.3,3.42,1.77,1.07,4,242,6.477138,24.310721455,2001.394520548
"92","Motorola","v60i (TDMA) / v60ti",4.3,3.42,1.77,1.07,4,240,6.477138,24.1251434286,2001.394520548
"332","Motorola","V60t Color",4.3,3.43,1.77,1.14,3.4,230,6.921054,22.0121924375,2001.394520548
"3","Samsung","SPH-A250",2.82,2.76,1.91,0.83,2.5,80,4.375428,12.8553853919,2001.4684931507
"35","Sanyo","SCP-4700",5,5.31,1.73,1.11,4,288,10.196793,20.2674340566,2001.4739726027
"32","Ericsson","T60d / T60LX",4.4,4.8,2.13,0.92,2.5,230,9.40608,17.5647251066,2001.4821917808
"162","Sony","Ericsson T61d / T61LX",4.4,4.8,2.13,0.92,2.5,230,9.40608,17.5647251066,2001.4821917808
"30","Ericsson","T68",2.96,3.94,1.89,0.79,8,228,5.882814,30.3070945516,2001.5260273973
"16","Motorola","v66",2.79,3.31,1.73,0.83,3,125,4.752829,18.5606753116,2001.5287671233
"17","LG","VX-1 / TM-520",3.8,3.3,1.8,0.97,3,110,5.7618,13.0728523918,2001.5287671233
"57","Motorola","Talkabout T193 / T193m",4.13,4.7,1.8,0.68,4,115,5.7528,13.660096329,2001.5287671233
"143","LG","VX-10",3.8,3.3,1.8,0.97,3,110,5.7618,13.0728523918,2001.5287671233
"64","Panasonic","Allure EB-TX310",2.7,4.6,1.7,0.7,2.3,200,5.474,25.874724737,2001.5863013699
"63","Panasonic","Versio EB-TX320",3.1,4.6,1.7,0.7,2.3,200,5.474,24.6675997201,2001.597260274
"7","Kyocera","2135",4.7,5.07,1.89,1.02,4,150,9.773946,11.7452421061,2001.6
"71","Motorola","v60g",4.3,3.42,1.77,1.07,5.5,221,6.477138,23.058069777,2001.6054794521
"25","Sony","Ericsson T61c",4.4,4.8,2.13,0.92,2.5,230,9.40608,17.5647251066,2001.6219178082
"107","Motorola","i80s",4,5.4,2,1,3.3,68,10.8,5.7094594595,2001.6575342466
"4","Samsung","SPH-I300",6,4.9,2.28,0.82,4,100,9.16104,7.9150242991,2001.6602739726
"6","Kyocera","2255",4.34,4.72,1.89,0.95,3.8,144,8.47476,12.7197075872,2001.6849315069
"134","Kyocera","1135",4.34,4.72,1.89,0.95,3.8,144,8.47476,12.7197075872,2001.6849315069
"186","Kyocera","1155",4.34,4.72,1.89,0.95,3.8,144,8.47476,12.7197075872,2001.6849315069
"99","Motorola","v200",5.96,3.7,4.05,2.75,2.3,120,41.20875,2.7878627269,2001.701369863
"29","Nokia","8390",2.96,3.82,1.69,0.71,2.3,100,4.583618,14.780706022,2001.7205479452
